issue,title,primary finding,validator comment,status,root cause (URL),size
validation-254,Inconsistency Between Code Implementation and Documentation in _spendAllowance Function,,invalid,Unsatisfactory,,78
validation-255,ERC20 allowance front-running vulnerability,,,Unsatisfactory,,43
validation-256,Permanent Loss of Minting Capability,validation-256,invalid,Unsatisfactory,,69
validation-257,Unbounded Token Decimals Enable Dust Attacks and Network Congestion,validation-20,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/c383cc0e51805357bca8741ec5d1568cacbff6cc/interchain-token-service/contracts/InterchainTokenService.sol#L1096,77
validation-258,Potential Flow Limit Bypass in FlowLimit Contract,,invalid,Unsatisfactory,,79
validation-259,Incorrect Direct Call in TokenManagerProxy Constructor Causes Deployment Failure and State Inconsistency,,invalid,Unsatisfactory,,44
validation-260,Centralization Risk in Gateway Token Registration,,centralization risk,Unsatisfactory,,54
validation-261,Canonical Token Limitation in InterchainTokenFactory,,"suggestion, not issue",Unsatisfactory,,51
validation-262,Unchecked Token Initialization in deployInterchainToken,,invalid. spam,Unsatisfactory,,87
validation-263,Bypass of Rotation Delay for Non-Latest Signers,,invalid. _rotateSigners() not allow to set old signer,Unsatisfactory,,62
validation-264,Single-Step Operatorship Transfer,,QA max,Unsatisfactory,,46
validation-267,Existing minter/operator will not be able to revoke newly proposed addresses ,validation-267,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/Minter.sol#L40,92
validation-268,deployInterchainToken function doesn't check minter != address(0),validation-256,invalid,Unsatisfactory,,47
validation-27,Potential loss of gas fees when `transmitInterchainTransfer` is called,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,140
validation-270,Anyone can call function setup() in TokenManager.sol through the TokenManagerProxy contract,validation-270,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/token-manager/TokenManager.sol#L101,74
validation-273,Lack of ETH Validation in InterchainTokenFactory,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,62
validation-277,Premature Native Token Transfer in Contract Deployment,,invalid,Unsatisfactory,,48
validation-279,Unbounded callData in executeProposal Function,,invalid,Unsatisfactory,,77
validation-281,Block stuffing using `RouteMessages` messages,validation-281,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/contracts/axelarnet-gateway/src/state.rs#L98,153
validation-282,Incorrect minter assignment in InterchainToken.sol prevents minting/burning of tokens,validation-282,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/interchain-token/InterchainToken.sol#L105,69
validation-284,_create3Address() is vulnerable to a birthday attack,validation-284,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/utils/Create3AddressFixed.sol#L22,223
validation-285,Missing Access Control and Unbounded Execution in `InterchainMultisig::executeCalls`,,invalid,Unsatisfactory,,93
validation-288,Tokens are incorrectly minted to sender address and not minter on deployment,validation-291,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenFactory.sol#L151,62
validation-29,Approve races are still possible,,invalid,Unsatisfactory,,50
validation-290,important missed check In the `execute_message` function,,insufficient proof,Unsatisfactory,,48
validation-291,Minting to wrong party,validation-291,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenFactory.sol#L151,76
validation-292,No matching or checking in `match_gateway` function ,,insufficient proof,Unsatisfactory,,50
validation-294,fn `route_incoming_messages` doesn't check if message has been approved or is ready ,,"invalid, AI generated",Unsatisfactory,,47
validation-295,"Attacker Can Send Arbitrarily Large Payloads (>1MB) Across Chains, Potentially Overwhelming Axelar Network",,AI generated,Unsatisfactory,,117
validation-297,fn  `start_token_balance` will always return Ok(()) when saving a new balance,validation-297,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L139,66
validation-3,use of a constant PLACEHOLDER_TX_HASH,,insufficient proof,Unsatisfactory,,23
validation-30,`ITS::apply_balance_tracking` can cause a fund loss when destination balance update fails,,"incomplete issue, not specify exactly how destination balance update can fail",Unsatisfactory,,258
validation-31,`transferFrom` handles approval inaccurately,,invalid,Unsatisfactory,,51
validation-33,Message execution may be skipped at the destination chain by front running the validation in gateway,validation-33,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L87-L95,23
validation-34,`_validateProof()` will revert for first signer ,,"invalid, first signers are setup in `_setup()`",Unsatisfactory,,54
validation-35,Attacker can gain control of token deployment,,"invalid, salt included tokenId, which included deployer",Unsatisfactory,,104
validation-36,Excess Token sent when deploying a new interchain token is not refunded,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,55
validation-37,The registerCanonicalInterchainToken function might assign an incorrect TokenManagerType,findings-31,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L255,99
validation-38,EXECUTED state update is not necessarily accurate,validation-38,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/axelar-amplifier/contracts/axelarnet-gateway/src/contract/execute.rs#L111-L145,62
validation-39,Lack of Error Handling in Data Decoding,,AI generated,Unsatisfactory,,60
validation-4,Message ID Generation and Collisions,,insufficient quality,Unsatisfactory,,23
validation-41,Arbitrary Message Approval in AxelarAmplifierGateway,,"spam, AI generated",Unsatisfactory,,91
validation-43,The gateway operator may be unable to recover from a malicious rotation,,There is `enforceRotationDelay` to prevent malicious actors from rotating too quick,Unsatisfactory,,38
validation-44,`contractCallWithTokenValue` will be unusable,validation-44,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/c383cc0e51805357bca8741ec5d1568cacbff6cc/interchain-token-service/contracts/InterchainTokenService.sol#L710,49
validation-46,Missing approve(0),,invalid,Unsatisfactory,,45
validation-47,addFlowIn used in givetoken and addFlowOut used in takeToken functions would incorrectly record account of tokens flowing in and flowing out,,invalid,Unsatisfactory,,105
validation-48,Malicious signers even if removed by operator from latest signers can still approve messages,,operator can rotate previousSignersRetention times to remove Bob completely,Unsatisfactory,,120
validation-49,Inconsistent Minter Assignment and Flow Limiter Settings in `InterchainTokenFactory::deployInterchainToken()`,validation-49,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/interchain-token-service/contracts/InterchainTokenFactory.sol#L147-L159,70
validation-5,Unvalidated External Inputs,,insufficient quality,Unsatisfactory,,23
validation-50,Attacker can potentially execute unauthorized actions via unverified inner message types (`InterchainTokenService::_getExecuteParams`),,insufficient proof,Unsatisfactory,,79
validation-51,Malicious actor can front-run interchain transfers via `InterchainTokenService::expressExecute()`,,attacker lost fund in the scenario,Unsatisfactory,,101
validation-52,Attacker can double-spend tokens due to improper handling of express executions (`InterchainTokenService::_executeWithToken`),,insufficient proof. can't find the implementation of validateContractCallAndMint(),Unsatisfactory,,88
validation-53,Attacker can manipulate token transfers through payload exploitation in `InterchainTokenService::expressExecute()`,,insufficient proof. expressExecute() can execute with the same commandId again,Unsatisfactory,,79
validation-55,ApproveService fails to read tokenAddress from it proxy contract (TokenManagerProxy) ,,"invalid, tokenAddress is a public immutable",Unsatisfactory,,92
validation-56,Implementation contract (TokenManager) :: setup can be called more than once by it Proxy  contract ( TokenManagerProxy) ,validation-270,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/token-manager/TokenManager.sol#L101,89
validation-57,Vulnerability in postTokenManagerDeploy Function :: Due to approveService Flaw,,"invalid, tokenAddress is a public immutable",Unsatisfactory,,78
validation-59,Creation of Interchain Tokens is susceptible for Denial of Service,,invalid. function is delegate call from ITS,Unsatisfactory,,67
validation-6,Message Verification Assumptions,,validation is done in contract.rs,Unsatisfactory,,23
validation-60,Gas refunds will be lost when using smart contract wallets,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,89
validation-61,Migration will not be possible due to no admin set in `instantiate()`,validation-61,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/contracts/axelarnet-gateway/src/contract.rs#L63-L85,71
validation-62,Trusted addresses can not be removed,validation-62,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L121-L128,51
validation-63,"Express executors may execute invalid commands, losing their transferred funds",validation-63,relayer should check it offchain but leaving for review,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L375-L396,136
validation-64,Stuck tokens cannot be recovered,validation-64,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L632-L643,47
validation-65,"Rebasing tokens are not supported, causing inaccuracies in accounting of assets",findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,30
validation-67,"To mitigate this risk, implement validation checks for the address before saving it to the storage.",,spam,Unsatisfactory,,71
validation-69,Inconsistent balance tracking allows unlimited token minting,validation-69,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L192,127
validation-7,`_validateSignatures` incorectly implements the second for loop,,insufficient proof,Unsatisfactory,,44
validation-70,Trusted addresses can't be added or updated due to elevated permissions never being set,validation-202,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/msg.rs#L27-L28,83
validation-71,FlowLimit: Implementation restricts single request transfers contrary to documentation,validation-71,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/FlowLimit.sol#L105,114
validation-73,Vulnerability in callContract Function Due to Misuse of tx.origin as refundAddress in payNativeGasForContractCall,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,128
validation-74,Axelar-amiplifier ITS ExecuteMsg::UpdateTrustedAddress can be called arbitrarily,,insufficient proof,Unsatisfactory,,117
validation-75,"The source chain of Axelar-amplifier ITS does not have an initial balance, so all update_token_balance calls will be reverted ",validation-75,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L166-L196,136
validation-76,The axelarnet gateway only routes one message per chain at a time,,invalid,Unsatisfactory,,100
validation-77,"The storage of incoming and outgoing messages are not reset, which means that messages can only be sent once",,"invalid, cc_id included a counter",Unsatisfactory,,107
validation-78,The Axelar Amplifier Gateway is Not Fully Backward Compatible,validation-78,,Satisfactory,https://github.com/axelarnetwork/interchain-token-service/blob/498a02b5ca59871e657b42871dba061796cf7860/contracts/InterchainTokenService.sol#L689-L699,93
validation-8,Unbounded Loop in `_approveMessages` Function Poses Gas Limit Risk,validation-252,invalid,Unsatisfactory,,85
validation-80,`to_vec()` in `ItsMessage::InterchainTransfer` of `abi_decode` function could cause unexpected behavior,validation-80,QA,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/abi.rs#L139,53
validation-81,Attacker can make a deploy action fail,,"invalid, salt included tokenId, which included deployer",Unsatisfactory,,61
validation-82,Untrusted addresses can execute messages by calling execute::update_trusted_address() function of Interchain-Token-Service,,invalid,Unsatisfactory,,90
validation-83,Vulnerability in Signer Validation Mechanism in :: approveMessages Function,,invalid,Unsatisfactory,,102
validation-84,Deploying an interchain token and a token manager for a token on a chain will always fail due to balance tracking error,validation-84,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L159-L162,112
validation-87,Lack of Duplicate Signer Checks :: _validateProof,,invalid,Unsatisfactory,,145
validation-9,Lack of Input Validation in `callContract` Function,,AI generated,Unsatisfactory,,79
validation-95,Missing address(0) check for minter can cause mishandlng of tokens,,insufficient proof,Unsatisfactory,,20
validation-96,In `ERC20Permit` signatures can be re-used,,already included nonce,Unsatisfactory,,26
validation-98,No access control on `AxelarAmplifierGateway::validateProof` and `AxelarAmplifierGateway::approveMessages` can cause DoS attack by malicios user,validation-33,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L87-L95,56
validation-99,"In `AxelarAmplifierGateway`, `signers` array is unbounded and vulnarable to high gas expenses and DoS attacks.",,invalid,Unsatisfactory,,71
validation-101,BaseWeightedMultisig Missing override Specifier in Overriding Function named epochBySignerHash,validation-101,invalid,Unsatisfactory,,75
validation-102,BaseWeightedMultisig contract Missing override Specifier in Overriding Function named lastRotationTimestamp,validation-101,invalid,Unsatisfactory,,73
validation-103,BaseWeightedMultisig contract Missing override Specifier in Overriding Function named timeSinceRotation,validation-101,invalid,Unsatisfactory,,73
validation-104,BaseWeightedMultisig contract Missing override Specifier in Overriding Function named messageHashToSign,validation-101,invalid,Unsatisfactory,,75
validation-105,BaseWeightedMultisig contract Missing override Specifier in Overriding Public State Variable named previousSignersRetention,validation-101,invalid,Unsatisfactory,,71
validation-106,BaseWeightedMultisig contract Use of block.timestamp for Control Flow Decision in timeSinceRotation,validation-106,invalid,Unsatisfactory,,124
validation-108,AxelarAmplifierGatewayProxy contract use of Delegatecall to User-Supplied Address via the constructor,,invalid. AI generated,Unsatisfactory,,167
validation-109,AxelarAmplifierGateway contract Missing override Specifier in Overriding Functions,validation-101,invalid,Unsatisfactory,,274
validation-110,BaseAmplifierGateway contract has Invalid Type for bytes.concat Function named messageToCommandId,,invalid,Unsatisfactory,,51
validation-112,BaseWeightedMultisig contract missing override Specifier in Overriding Function named epoch,validation-101,invalid,Unsatisfactory,,78
validation-113,InterchainTokenService contract has Incorrect Type Conversion from bytes calldata slice to bytes4 Leading to Fatal Compilation Error,,invalid,Unsatisfactory,,60
validation-115,InterchainTokenService contract Missing override Specifier for Overriding Functions and State Variables,validation-101,invalid,Unsatisfactory,,556
validation-119,TokenManager contract has Missing override Specifiers on Overriding Functions,validation-101,invalid,Unsatisfactory,,159
validation-120,InterchainTokenExpressExecutable contract is Missing override Specifier in Overriding Functions,validation-101,invalid,Unsatisfactory,,140
validation-126,TokenManagerProxy contract missing override specifier in Overriding Public State Variables and Functions,validation-101,invalid,Unsatisfactory,,85
validation-129,ERC20Permit contract has Block Timestamp Manipulation Risk in permit function,validation-106,invalid,Unsatisfactory,,244
validation-130,GatewayCaller contract has Multiple Calls in a Single Transaction in callContractWithToken function,,AI generated,Unsatisfactory,,218
validation-140,GatewayCaller contract has External Call to User-Supplied Address for callContract function,,spam,Unsatisfactory,,213
validation-142,ITS Hub does not implement AxelarExecutableMsg::Execute interface,,invalid,Unsatisfactory,,43
validation-144,ITS Hub does not account for fee-on-transfer tokens when increasing / decreasing balance on the chains,,insufficient proof,Unsatisfactory,,85
validation-146,Token balance will not be updated on the source chain if the interchain token for this chain was not deployed via ITS Hub,validation-146,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/contract/execute.rs#L136,82
validation-175,Not all the chains have 20 bytes addresses,validation-152,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/interchain-token-service/contracts/InterchainTokenService.sol#L720-L776,59
validation-177,Source address does not correspond to the trusted source address in ITS Hub,validation-177,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/contract/execute.rs#L31,60
validation-179,Trusted address of original source chain should be checked in the first GMP call to avoid revert in the second,validation-179,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenService.sol#L981,46
validation-187,The message can't be executed again once the message can't be executed successfully,,insufficient proof,Unsatisfactory,,94
validation-188,Cross-chain tokens transactions can be replayed after the chain hard-fork,,insufficient proof,Unsatisfactory,,99
validation-191,Signature Replay Attack Using ,,spam AI generated,Unsatisfactory,,56
validation-201,Incorrect checking for source chain in `_getExecuteParams()`,,suggestion not issue,Unsatisfactory,,55
validation-206,Arbitrary Token Amount Manipulation,,AI generated,Unsatisfactory,,70
validation-207,Improper Use of tx.origin with Smart Contract Wallets,,AI generated,Unsatisfactory,,59
validation-208,Mismatch Between gasValue and msg.value will lead to draining ,,AI generated,Unsatisfactory,,200
validation-209,Stuck Funds Due to Delegatecall in Cross-Chain Transactions,,AI generated,Unsatisfactory,,66
validation-210,Unrestricted Access to `acceptMintership` Function in `Minter` Contract,,invalid,Unsatisfactory,,61
validation-211,unchecked output of the ECDSA recover function.,,invalid,Unsatisfactory,,69
validation-216,Optional ERC-20 functional required.,validation-25,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L113,64
validation-219,ERC20 double approval,,,Unsatisfactory,,39
validation-22,Lack of Zero Address Check in transferOperatorship Function in the AxelarAmplifierGateway contract,,,Unsatisfactory,,111
validation-23,Lack of Balance Check in interchainTransfer Function within InterchainTokenStandard contract,,spam AI generated,Unsatisfactory,,147
validation-231,Potential Loss of InterchainTokens Due to Uninitialized Minter Address,,AI generated,Unsatisfactory,,133
validation-238,`deployInterchainToken` Function Always Reverts,,invalid,Unsatisfactory,,114
validation-240,acceptOperatorship can be called by any operator,,invalid,Unsatisfactory,,26
validation-242,CREATE3 is not available in the ZkSync Era,,invalid,Unsatisfactory,,27
validation-26,Allowance Underrun in _spendAllowance Function within InterchainToken contract,,spam AI generated,Unsatisfactory,,102
validation-265,Potential Inconsistency Due to Unchecked Implementation Contract Changes in `InterchainTokenDeployer`,,invalid,Unsatisfactory,,56
validation-266, Unauthorized Deployment of Tokens via InterchainTokenDeployer function ,,invalid,Unsatisfactory,,138
validation-269,Unauthorized Cross-Chain Token Transfer issue occur  in Axelar Amplifier Gateway contract ,,invalid,Unsatisfactory,,131
validation-274,Lack of Role-Based Access Control in BaseAmplifierGateway.sol,,invalid,Unsatisfactory,,46
validation-276,No check on receiver address ,,invalid,Unsatisfactory,,63
validation-278,BaseWeightedMultisig.sol :: Missing nonce in `_validateSignatures()` allows signature replay,validation-213,invalid,Unsatisfactory,,76
validation-280,Potential DoS By Block Gas Limit in BaseWeightedMultisig.sol,,,Unsatisfactory,,51
validation-283,Unprotected Function Calls in InterchainTokenFactory.sol allow reentrancy,,invalid,Unsatisfactory,,50
validation-286,Replay Vulnerability in Trusted Address System,,AI generated,Unsatisfactory,,100
validation-289,Loss of fund as Unused Msg.value and gasValue is not Returned to Caller,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,82
validation-79,Solc Fatal Error - ParserError Due to Incompatible Solidity Version in the BaseAmplifierGateway contract,,invalid,Unsatisfactory,,78
validation-85,Compilation error in the AxelarAmplifierGateway contract due to Incompatible Solidity Version Specified in Pragma,,invalid,Unsatisfactory,,75
validation-88,Incorrect Solidity Pragma Version Used in the BaseWeightedMultisig contract,,invalid,Unsatisfactory,,63
validation-89,Not all ERC20 tokens have symbol defined as a string data type,validation-25,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L113,33
validation-91,An attacker can steal tokens using the TokenHandler.transferTokenFrom() function,,invalid,Unsatisfactory,,24
validation-92,Failure to validate the calling address of the TokenHandler.giveToken() function will affect the functioning of the contract,,Service delegate call to TokenHandler,Unsatisfactory,,24
validation-93,onlyOwner check not working in InterchainTokenFactory.sol and InterchainTokenService.sol contracts,,invalid,Unsatisfactory,,31
validation-94,BaseWeightedMultisig contract has Missing override Specifier in Overriding Function named signerHashByEpoch,validation-101,invalid,Unsatisfactory,,75
